"seq","table","varnum","table.var","varname","colnum","keep","varname2"
"0002","B01001","001","B01001.001","Total: Universe:  Total population",1,"Y","TotalUniverseTotalpopulation"
"0002","B01001","002","B01001.002","Male:",2,"Y","Male"
"0002","B01001","003","B01001.003","Under 5 years",3,"Y","Under5years"
"0002","B01001","004","B01001.004","5 to 9 years",4,"Y","5to9years"
"0002","B01001","005","B01001.005","10 to 14 years",5,"Y","10to14years"
"0002","B01001","006","B01001.006","15 to 17 years",6,"Y","15to17years"
"0002","B01001","007","B01001.007","18 and 19 years",7,"Y","18and19years"
"0002","B01001","008","B01001.008","20 years",8,"Y","20years"
"0002","B01001","009","B01001.009","21 years",9,"Y","21years"
"0002","B01001","010","B01001.010","22 to 24 years",10,"Y","22to24years"
"0002","B01001","011","B01001.011","25 to 29 years",11,"Y","25to29years"
"0002","B01001","012","B01001.012","30 to 34 years",12,"Y","30to34years"
"0002","B01001","013","B01001.013","35 to 39 years",13,"Y","35to39years"
"0002","B01001","014","B01001.014","40 to 44 years",14,"Y","40to44years"
"0002","B01001","015","B01001.015","45 to 49 years",15,"Y","45to49years"
"0002","B01001","016","B01001.016","50 to 54 years",16,"Y","50to54years"
"0002","B01001","017","B01001.017","55 to 59 years",17,"Y","55to59years"
"0002","B01001","018","B01001.018","60 and 61 years",18,"Y","60and61years"
"0002","B01001","019","B01001.019","62 to 64 years",19,"Y","62to64years"
"0002","B01001","020","B01001.020","65 and 66 years",20,"Y","65and66years"
"0002","B01001","021","B01001.021","67 to 69 years",21,"Y","67to69years"
"0002","B01001","022","B01001.022","70 to 74 years",22,"Y","70to74years"
"0002","B01001","023","B01001.023","75 to 79 years",23,"Y","75to79years"
"0002","B01001","024","B01001.024","80 to 84 years",24,"Y","80to84years"
"0002","B01001","025","B01001.025","85 years and over",25,"Y","85yearsandover"
"0002","B01001","026","B01001.026","Female:",26,"Y","Female"
"0002","B01001","027","B01001.027","Under 5 years",27,"Y","Under5years"
"0002","B01001","028","B01001.028","5 to 9 years",28,"Y","5to9years"
"0002","B01001","029","B01001.029","10 to 14 years",29,"Y","10to14years"
"0002","B01001","030","B01001.030","15 to 17 years",30,"Y","15to17years"
"0002","B01001","031","B01001.031","18 and 19 years",31,"Y","18and19years"
"0002","B01001","032","B01001.032","20 years",32,"Y","20years"
"0002","B01001","033","B01001.033","21 years",33,"Y","21years"
"0002","B01001","034","B01001.034","22 to 24 years",34,"Y","22to24years"
"0002","B01001","035","B01001.035","25 to 29 years",35,"Y","25to29years"
"0002","B01001","036","B01001.036","30 to 34 years",36,"Y","30to34years"
"0002","B01001","037","B01001.037","35 to 39 years",37,"Y","35to39years"
"0002","B01001","038","B01001.038","40 to 44 years",38,"Y","40to44years"
"0002","B01001","039","B01001.039","45 to 49 years",39,"Y","45to49years"
"0002","B01001","040","B01001.040","50 to 54 years",40,"Y","50to54years"
"0002","B01001","041","B01001.041","55 to 59 years",41,"Y","55to59years"
"0002","B01001","042","B01001.042","60 and 61 years",42,"Y","60and61years"
"0002","B01001","043","B01001.043","62 to 64 years",43,"Y","62to64years"
"0002","B01001","044","B01001.044","65 and 66 years",44,"Y","65and66years"
"0002","B01001","045","B01001.045","67 to 69 years",45,"Y","67to69years"
"0002","B01001","046","B01001.046","70 to 74 years",46,"Y","70to74years"
"0002","B01001","047","B01001.047","75 to 79 years",47,"Y","75to79years"
"0002","B01001","048","B01001.048","80 to 84 years",48,"Y","80to84years"
"0002","B01001","049","B01001.049","85 years and over",49,"Y","85yearsandover"
